Open_time,Open,High,Low,Close,Volume
2021-06-08,345.43,349.14,345.27,347.64,52159.8241
2021-06-08,347.62,348.39,345.0,346.03,43431.2434
2021-06-08,346.0,346.55,343.86,344.6,33258.7438
2021-06-08,344.6,349.0,344.6,348.01,40437.4635
2021-06-08,348.01,349.18,345.73,347.7,28375.3091
2021-06-08,347.83,348.68,345.4,346.37,29153.9823
2021-06-08,346.34,351.25,345.26,350.46,41441.2225
2021-06-08,350.44,353.82,348.58,353.37,49400.7271
2021-06-08,353.35,355.95,352.6,353.27,69121.1502
2021-06-08,353.24,353.99,351.12,352.51,40029.1434
2021-06-08,352.72,352.74,349.61,351.49,30676.4905
2021-06-08,351.52,352.9,349.67,352.25,19641.8116
2021-06-08,352.14,355.43,352.01,352.02,22056.4515
2021-06-08,352.06,353.2,350.77,351.28,14619.9395
2021-06-08,351.35,354.46,351.34,353.8,11727.9781
2021-06-08,353.81,355.45,351.5,351.82,18082.421
2021-06-08,351.83,353.33,349.38,351.47,23468.6675
2021-06-08,351.47,355.5,351.4,354.2,20560.2298
2021-06-08,354.21,354.4,351.35,351.77,16106.0453
2021-06-08,351.79,354.4,350.8,353.39,19927.4932
2021-06-08,353.4,354.71,351.67,352.5,15847.0181
2021-06-08,352.5,354.29,345.66,345.95,45701.4379
2021-06-08,345.79,348.15,342.62,344.14,43021.8827
2021-06-08,344.14,347.23,344.0,345.24,21735.1625
2021-06-08,345.25,345.4,341.24,342.03,28279.8899
2021-06-08,342.02,343.61,339.01,340.79,32512.8851
2021-06-08,340.79,343.21,340.41,342.34,18339.5057
2021-06-08,342.34,342.34,337.22,337.82,28118.2335
2021-06-08,337.82,339.09,335.33,336.0,32328.9999
2021-06-08,336.07,339.36,335.28,335.99,21824.747
2021-06-08,336.15,337.34,333.56,335.8,25422.219
2021-06-08,335.82,338.0,333.56,337.61,24779.6389
2021-06-08,337.59,345.0,336.68,342.02,54896.2407
2021-06-08,342.15,343.98,338.18,343.89,33563.0678
2021-06-08,343.89,345.98,341.74,343.37,31169.9172
2021-06-08,343.39,343.4,340.41,342.16,20677.704
2021-06-08,342.17,342.89,340.72,341.39,21100.5662
2021-06-08,341.43,344.25,339.0,340.16,29347.9194
2021-06-08,340.2,340.6,336.15,338.41,29037.7026
2021-06-08,338.42,341.24,337.81,338.32,21910.9329
2021-06-08,338.34,342.9,338.27,342.64,23525.2383
2021-06-09,342.64,345.87,341.69,345.27,28275.6048
2021-06-09,345.25,349.91,345.25,349.04,58789.4988
2021-06-09,349.05,349.17,346.05,347.27,26382.2103
2021-06-09,347.26,347.76,346.0,347.68,24249.8583
2021-06-09,347.73,349.66,346.0,348.18,28201.6862
2021-06-09,348.16,354.26,347.91,353.66,52136.5819
2021-06-09,353.58,356.0,351.16,355.91,49837.9864
2021-06-09,355.91,359.0,354.54,358.22,70964.4047
2021-06-09,358.22,361.88,355.88,359.09,75483.9696
2021-06-09,358.98,360.38,356.17,356.48,54988.7433
2021-06-09,356.48,358.44,355.79,357.69,33148.0499
2021-06-09,357.68,357.82,352.63,353.05,40552.1553
2021-06-09,353.06,354.53,348.56,353.78,72559.9542
2021-06-09,353.78,353.96,350.0,350.52,31783.0963
2021-06-09,350.51,352.45,347.8,350.1,33887.9446
2021-06-09,350.04,351.75,348.09,350.37,28107.9062
2021-06-09,350.39,352.52,349.15,351.52,29155.7789
2021-06-09,351.46,356.01,350.64,352.79,46254.278
2021-06-09,352.79,353.8,350.41,352.55,28503.077
2021-06-09,352.53,352.6,348.36,348.78,31973.4753
2021-06-09,348.77,350.49,347.56,349.56,25160.7048
2021-06-09,349.56,353.7,348.8,352.68,30097.6962
2021-06-09,352.65,355.98,351.8,354.63,32442.1597
2021-06-09,354.75,355.2,352.02,353.51,21170.4757
2021-06-09,353.52,355.36,351.31,354.3,25639.2566
2021-06-09,354.29,357.6,353.61,355.24,41783.2224
2021-06-09,355.26,356.85,353.37,356.33,27021.0383
2021-06-09,356.39,360.38,356.23,358.87,64976.1619
2021-06-09,358.86,363.76,358.86,362.87,72075.2328
2021-06-09,362.89,363.55,359.06,359.42,43765.752
2021-06-09,359.41,360.69,356.22,358.6,41692.824
2021-06-09,358.6,358.8,355.0,356.45,39825.5383
2021-06-09,356.47,358.16,354.97,357.61,33893.9876
2021-06-09,357.64,358.49,355.26,355.74,32621.9738
2021-06-09,355.71,357.2,353.06,354.12,26720.4243
2021-06-09,354.19,356.37,353.55,356.35,22033.0915
2021-06-09,356.35,361.0,355.78,359.16,45055.6219
2021-06-09,359.23,359.26,355.51,356.33,34188.515
2021-06-09,356.33,359.5,356.28,358.43,19851.4427
2021-06-09,358.43,359.4,350.72,351.52,53975.6047
2021-06-09,351.52,360.5,350.69,358.75,89055.8193
2021-06-09,358.89,365.2,358.8,363.55,102081.8505
2021-06-09,363.69,369.9,362.97,367.43,108923.8038
2021-06-09,367.42,369.25,365.17,368.26,56568.4121
2021-06-09,368.32,370.46,362.28,365.93,80879.2763
2021-06-09,365.96,367.92,365.04,366.3,36310.8071
2021-06-09,366.3,370.71,365.0,370.39,48305.1
2021-06-09,370.4,374.4,370.36,372.39,71568.1351
2021-06-09,372.39,375.54,371.3,375.21,33938.7414
2021-06-09,375.23,378.77,373.71,374.07,71633.8441
2021-06-09,374.07,374.54,371.25,372.79,42354.5884
2021-06-09,372.78,374.3,371.02,373.17,29516.7513
2021-06-09,373.17,376.5,371.67,372.23,33564.947
2021-06-09,372.23,372.78,367.54,369.03,39831.2082
2021-06-09,369.03,369.99,365.05,367.76,48701.4932
2021-06-09,367.75,370.5,365.94,366.58,30695.8492
2021-06-09,366.52,369.0,363.1,363.78,37332.2077
2021-06-09,363.76,367.77,363.0,366.6,22873.3606
2021-06-09,366.53,368.28,365.74,367.8,16079.6582
2021-06-09,367.8,368.46,364.6,366.64,24699.768
2021-06-09,366.64,367.75,365.14,366.75,17594.5331
2021-06-09,366.74,367.34,364.47,366.06,16960.1972
2021-06-09,366.04,368.0,364.69,367.13,22506.0217
2021-06-09,367.13,367.25,365.81,365.81,10640.9147
2021-06-09,365.81,368.99,365.8,368.09,12577.9964
2021-06-09,368.08,368.9,365.58,366.81,18470.7995
2021-06-09,366.81,369.68,366.67,369.09,9803.4776
2021-06-09,369.15,371.84,369.15,369.91,14809.4624
2021-06-09,369.88,372.73,369.18,372.59,16282.4891
2021-06-09,372.6,378.36,372.0,376.26,54962.6842
2021-06-09,376.25,377.19,373.28,374.34,23342.0416
2021-06-09,374.34,375.93,373.73,374.63,14756.8787
2021-06-09,374.66,376.0,372.4,375.24,19769.5922
2021-06-09,375.23,376.14,374.16,376.0,15546.5079
2021-06-09,375.99,376.15,374.25,374.44,20182.4586
2021-06-09,374.43,375.9,373.51,375.54,14643.1172
2021-06-09,375.56,377.55,370.17,370.36,52735.3272
2021-06-09,370.36,371.25,367.7,370.2,31096.2433
2021-06-09,370.17,371.6,368.24,368.93,18100.6564
2021-06-09,369.0,370.3,367.56,368.19,17536.5065
2021-06-09,368.25,373.91,368.18,372.94,20962.1658
2021-06-09,372.93,373.24,371.62,372.48,17045.6834
2021-06-09,372.48,372.48,369.06,369.88,18327.4569
2021-06-09,369.85,371.53,368.08,368.21,14988.1112
2021-06-09,368.27,370.0,366.8,369.14,17439.7767
2021-06-09,369.14,371.17,368.83,369.18,16055.2121
2021-06-09,369.19,370.9,368.84,369.54,12593.0
2021-06-09,369.54,370.65,368.53,370.63,11729.3083
2021-06-09,370.62,374.58,370.54,374.01,24478.9575
2021-06-09,374.0,375.4,372.85,373.13,23192.613
2021-06-09,373.1,373.8,370.55,370.97,13551.8152
2021-06-09,370.94,371.49,369.33,369.75,14284.9787
2021-06-09,369.66,372.01,368.78,371.97,16891.6315
2021-06-09,371.94,372.38,367.77,368.17,19961.5597
2021-06-09,368.18,368.78,363.57,364.89,37195.8719
2021-06-09,364.86,366.74,364.0,365.82,15912.2912
2021-06-10,365.75,367.43,364.35,365.88,20084.3514
2021-06-10,365.82,366.58,360.12,362.0,31883.8576
2021-06-10,361.99,364.27,361.21,363.04,19470.9711
2021-06-10,363.02,364.3,361.05,364.01,20763.4979
2021-06-10,364.06,364.06,359.76,360.53,27511.7633
2021-06-10,360.59,363.34,360.02,363.26,20371.2951
2021-06-10,363.17,365.98,362.6,363.09,31647.757
2021-06-10,363.09,364.47,361.89,363.3,14713.6439
2021-06-10,363.3,365.31,361.56,365.07,19328.4271
2021-06-10,365.11,365.94,363.5,364.41,14485.8237
2021-06-10,364.4,364.4,362.17,363.37,13929.6191
2021-06-10,363.37,365.96,363.37,365.52,20095.4725
2021-06-10,365.52,365.52,362.17,364.69,22458.1961
2021-06-10,364.67,365.0,363.07,363.65,14474.6803
2021-06-10,363.67,364.57,355.37,356.76,69290.3316
2021-06-10,356.76,357.89,354.56,356.37,41385.0319
2021-06-10,356.33,356.99,353.25,354.48,32671.9606
2021-06-10,354.48,356.44,354.47,355.33,19382.4164
2021-06-10,355.33,363.14,354.88,361.99,56686.4007
2021-06-10,362.0,365.51,361.0,364.41,38777.3287
2021-06-10,364.41,372.17,363.28,370.27,103233.3213
2021-06-10,370.26,372.35,369.69,370.7,44612.6675
2021-06-10,370.71,371.34,369.19,369.38,31126.0462
2021-06-10,369.29,370.37,366.66,366.94,37667.7525
2021-06-10,366.94,369.66,366.48,368.21,22632.9936
2021-06-10,368.32,369.0,366.71,367.06,17628.5659
2021-06-10,367.04,367.18,365.37,366.43,20392.1168
2021-06-10,366.43,367.47,365.05,366.16,16620.7308
2021-06-10,366.15,366.49,363.06,363.72,38105.269
2021-06-10,363.72,364.34,360.08,361.24,28426.9183
2021-06-10,361.14,363.38,360.69,362.52,22224.6978
2021-06-10,362.52,365.4,361.57,361.99,30685.924
2021-06-10,361.99,362.54,360.6,362.35,20100.5716
2021-06-10,362.35,362.36,358.76,360.4,26780.6477
2021-06-10,360.43,362.6,359.31,361.76,19271.6406
2021-06-10,361.76,365.0,361.66,364.11,24566.6571
2021-06-10,364.12,366.53,359.14,361.44,43697.6
2021-06-10,361.38,362.08,357.51,359.1,26935.9798
2021-06-10,359.11,359.54,356.91,358.55,25201.9834
2021-06-10,358.48,359.46,355.45,357.97,56659.6274
2021-06-10,357.98,361.92,356.71,359.9,34622.582
2021-06-10,359.86,360.77,357.28,357.41,25544.9353
2021-06-10,357.41,358.55,354.13,354.9,35747.9955
2021-06-10,354.9,357.45,353.7,357.12,23616.3541
2021-06-10,357.07,359.17,352.65,354.76,35136.5929
2021-06-10,354.77,356.22,353.66,354.76,14820.7519
2021-06-10,354.68,357.81,353.57,356.72,21200.4308
2021-06-10,356.74,357.2,353.49,353.69,13184.7891
2021-06-10,353.8,356.24,350.5,351.29,34138.5746
2021-06-10,351.28,353.02,348.91,349.74,27976.0338
2021-06-10,349.62,353.97,348.6,350.27,41152.7114
2021-06-10,350.16,352.79,349.51,351.57,23302.4389
