,Open_time,Open,High,Low,Close,Volume,Close_time
0,1625315400000,294.2,294.54,293.25,293.58,8875.2683,1625316299999
1,1625316300000,293.57,294.08,293.11,293.57,4855.5151,1625317199999
2,1625317200000,293.57,294.0,293.0,293.75,9198.2408,1625318099999
3,1625318100000,293.69,294.44,293.09,294.31,6620.8626,1625318999999
4,1625319000000,294.33,294.35,293.51,293.63,6431.6227,1625319899999
5,1625319900000,293.62,296.38,293.6,295.65,25458.2727,1625320799999
6,1625320800000,295.69,295.9,294.56,295.38,6574.7852,1625321699999
7,1625321700000,295.39,295.5,294.29,295.31,7406.8623,1625322599999
8,1625322600000,295.33,295.35,294.41,294.56,5724.2816,1625323499999
9,1625323500000,294.55,295.75,294.5,295.71,5038.6609,1625324399999
10,1625324400000,295.67,299.29,295.4,298.5,38599.7377,1625325299999
11,1625325300000,298.55,299.18,297.32,297.99,10831.8465,1625326199999
12,1625326200000,297.99,298.19,296.52,297.47,10203.5149,1625327099999
13,1625327100000,297.5,297.92,297.06,297.55,6925.9497,1625327999999
14,1625328000000,297.55,298.67,296.81,297.07,20897.8498,1625328899999
15,1625328900000,297.07,298.23,297.03,298.01,7261.2383,1625329799999
16,1625329800000,298.0,299.0,297.75,297.8,8925.0904,1625330699999
17,1625330700000,297.8,299.0,297.74,298.28,7545.0238,1625331599999
18,1625331600000,298.29,300.0,298.16,299.86,15479.9114,1625332499999
19,1625332500000,299.86,301.07,299.74,300.55,21764.527,1625333399999
20,1625333400000,300.54,303.21,299.75,302.53,25736.972,1625334299999
21,1625334300000,302.51,302.83,300.54,301.23,13405.8384,1625335199999
22,1625335200000,301.23,301.6,300.03,300.32,10935.5514,1625336099999
23,1625336100000,300.31,300.65,298.37,298.71,15363.175,1625336999999
24,1625337000000,298.72,300.0,298.65,299.9,6834.9089,1625337899999
25,1625337900000,299.88,300.15,298.29,298.44,8904.5371,1625338799999
26,1625338800000,298.46,299.56,297.74,298.79,14515.4671,1625339699999
27,1625339700000,298.79,299.5,298.47,299.1,4513.3227,1625340599999
28,1625340600000,299.11,299.73,298.8,299.26,3597.926,1625341499999
29,1625341500000,299.26,299.95,298.88,299.3,7662.6132,1625342399999
30,1625342400000,299.3,299.83,298.93,299.61,5064.0593,1625343299999
31,1625343300000,299.6,300.36,299.4,299.95,5713.0105,1625344199999
32,1625344200000,299.94,300.14,299.35,299.8,7762.623,1625345099999
33,1625345100000,299.8,300.7,299.62,300.48,14265.6863,1625345999999
34,1625346000000,300.47,300.7,299.89,300.51,4067.4276,1625346899999
35,1625346900000,300.51,300.68,299.78,299.96,5524.6102,1625347799999
36,1625347800000,299.97,300.67,299.82,300.63,5075.4435,1625348699999
37,1625348700000,300.64,301.71,297.33,297.33,16758.5504,1625349599999
38,1625349600000,297.44,298.53,297.37,298.06,14260.6649,1625350499999
39,1625350500000,298.05,299.24,295.1,295.6,16882.6043,1625351399999
40,1625351400000,295.63,297.49,294.5,296.72,19045.5254,1625352299999
41,1625352300000,296.73,298.91,296.73,298.38,9526.1236,1625353199999
42,1625353200000,298.43,298.43,295.75,296.14,12784.1736,1625354099999
43,1625354100000,296.1,296.87,295.56,296.32,7893.7485,1625354999999
44,1625355000000,296.32,298.25,296.0,297.88,13588.1106,1625355899999
45,1625355900000,297.89,298.46,297.35,298.13,8025.5333,1625356799999
46,1625356800000,298.18,298.18,296.24,296.33,9984.9472,1625357699999
47,1625357700000,296.31,297.99,296.0,297.56,6270.0408,1625358599999
48,1625358600000,297.55,297.78,296.6,296.71,4699.0292,1625359499999
49,1625359500000,296.71,296.72,295.19,295.29,6189.044,1625360399999
50,1625360400000,295.29,296.1,292.89,294.3,17211.027,1625361299999
51,1625361300000,294.29,294.58,293.07,293.78,8998.2586,1625362199999
52,1625362200000,293.78,294.64,292.58,294.07,11328.9323,1625363099999
53,1625363100000,294.13,294.82,293.34,293.54,5265.0451,1625363999999
54,1625364000000,293.52,294.8,292.62,294.72,7645.9654,1625364899999
55,1625364900000,294.71,295.32,294.4,295.19,3462.5327,1625365799999
56,1625365800000,295.26,295.84,295.0,295.73,4856.8018,1625366699999
57,1625366700000,295.73,295.97,295.01,295.32,3996.816,1625367599999
58,1625367600000,295.31,296.2,294.52,295.87,5237.6867,1625368499999
59,1625368500000,295.84,296.54,295.74,296.45,5382.0675,1625369399999
60,1625369400000,296.46,296.87,295.97,296.35,5631.5161,1625370299999
61,1625370300000,296.35,296.58,295.72,295.78,4534.7749,1625371199999
62,1625371200000,295.79,297.21,295.51,297.12,6363.176,1625372099999
63,1625372100000,297.12,298.0,297.09,297.85,7910.0674,1625372999999
64,1625373000000,297.84,299.68,297.57,299.58,13348.4407,1625373899999
65,1625373900000,299.57,299.92,299.0,299.5,7832.5223,1625374799999
66,1625374800000,299.54,299.6,298.31,298.67,7389.3808,1625375699999
67,1625375700000,298.68,299.19,298.21,298.95,5922.4146,1625376599999
68,1625376600000,298.94,302.38,298.88,302.33,20003.0495,1625377499999
69,1625377500000,302.32,304.0,301.55,303.42,25801.7808,1625378399999
70,1625378400000,303.42,304.25,302.58,303.14,21528.2883,1625379299999
71,1625379300000,303.14,304.99,302.6,304.14,22068.7461,1625380199999
72,1625380200000,304.11,306.31,304.1,305.94,25721.2806,1625381099999
73,1625381100000,305.93,307.87,305.7,306.57,43295.4966,1625381999999
74,1625382000000,306.6,307.41,306.0,306.97,16739.0586,1625382899999
75,1625382900000,306.98,308.79,306.47,307.96,21448.1828,1625383799999
76,1625383800000,307.95,308.47,307.14,308.2,16444.6442,1625384699999
77,1625384700000,308.19,308.97,307.87,308.15,16213.9994,1625385599999
78,1625385600000,308.2,309.0,306.51,306.99,22585.007,1625386499999
79,1625386500000,307.0,307.24,305.13,305.9,24317.9831,1625387399999
80,1625387400000,305.89,306.99,305.6,306.85,14585.2745,1625388299999
81,1625388300000,306.89,307.03,306.5,306.7,5617.3346,1625389199999
82,1625389200000,306.7,306.87,304.36,304.68,15932.2034,1625390099999
83,1625390100000,304.67,305.16,304.03,304.89,10351.1589,1625390999999
84,1625391000000,304.88,305.22,303.96,304.95,11519.557,1625391899999
85,1625391900000,304.95,305.62,304.17,305.06,10840.2873,1625392799999
86,1625392800000,305.06,306.01,304.42,304.81,11955.6155,1625393699999
87,1625393700000,304.81,305.66,304.61,305.18,6571.8153,1625394599999
88,1625394600000,305.14,306.48,305.02,306.42,8204.9227,1625395499999
89,1625395500000,306.42,306.5,306.0,306.22,7024.1891,1625396399999
90,1625396400000,306.23,307.33,306.2,306.75,13555.096,1625397299999
91,1625397300000,306.77,306.79,305.29,306.1,8079.4825,1625398199999
92,1625398200000,306.11,306.99,305.93,306.66,6406.8278,1625399099999
93,1625399100000,306.65,307.11,305.76,306.06,9135.7709,1625399999999
94,1625400000000,306.02,306.18,303.92,303.99,23371.7782,1625400899999
95,1625400900000,304.0,304.96,303.2,304.96,10236.5366,1625401799999
96,1625401800000,304.96,305.53,303.86,304.51,10634.2364,1625402699999
97,1625402700000,304.51,304.98,301.64,302.13,16502.0619,1625403599999
98,1625403600000,302.13,303.89,302.13,302.53,13036.9537,1625404499999
99,1625404500000,302.53,304.63,302.43,303.78,10865.8595,1625405399999
100,1625405400000,303.78,304.34,303.2,303.53,9855.8086,1625406299999
101,1625406300000,303.57,304.21,302.73,303.73,7492.9765,1625407199999
102,1625407200000,303.76,304.92,303.18,304.66,11678.7035,1625408099999
103,1625408100000,304.65,306.84,303.87,305.22,24593.9849,1625408999999
104,1625409000000,305.2,305.3,303.83,304.76,10745.6517,1625409899999
105,1625409900000,304.76,306.48,304.73,306.07,12409.3474,1625410799999
106,1625410800000,306.07,307.0,305.92,306.56,11417.9992,1625411699999
107,1625411700000,306.56,308.48,306.07,307.32,23843.3933,1625412599999
108,1625412600000,307.3,308.85,307.21,308.71,12617.4467,1625413499999
109,1625413500000,308.71,309.79,307.69,309.39,30275.5756,1625414399999
110,1625414400000,309.46,310.63,307.12,309.36,32843.482,1625415299999
111,1625415300000,309.36,309.88,308.26,309.6,17350.3289,1625416199999
112,1625416200000,309.59,309.61,307.89,309.01,16663.4578,1625417099999
113,1625417100000,309.05,309.17,307.33,308.26,15966.8862,1625417999999
114,1625418000000,308.26,308.48,307.41,308.04,10736.3538,1625418899999
115,1625418900000,308.04,309.7,308.04,309.69,14683.9311,1625419799999
116,1625419800000,309.69,312.1,308.99,311.83,32688.1202,1625420699999
117,1625420700000,311.85,313.0,311.42,312.43,28339.3321,1625421599999
118,1625421600000,312.43,313.49,311.18,312.14,32154.4335,1625422499999
119,1625422500000,312.14,313.75,311.7,312.52,18647.024,1625423399999
120,1625423400000,312.51,312.51,311.05,311.37,7897.9944,1625424299999
121,1625424300000,311.37,312.2,310.82,311.91,13398.6719,1625425199999
122,1625425200000,311.9,313.03,311.63,312.34,11958.8167,1625426099999
123,1625426100000,312.34,312.87,311.5,312.37,8700.9301,1625426999999
